row,col,pos,loc,well_name,well_name_p
B,2,1,001,B02,B02_1
C,2,1,053,C02,C02_1
D,2,1,057,D02,D02_1
E,2,1,109,E02,E02_1
B,3,1,005,B03,B03_1
C,3,1,049,C03,C03_1
D,3,1,061,D03,D03_1
E,3,1,105,E03,E03_1
B,4,1,009,B04,B04_1
C,4,1,045,C04,C04_1
D,4,1,065,D04,D04_1
E,4,1,101,E04,E04_1
B,5,1,013,B05,B05_1
C,5,1,041,C05,C05_1
D,5,1,069,D05,D05_1
E,5,1,097,E05,E05_1
B,6,1,017,B06,B06_1
C,6,1,037,C06,C06_1
D,6,1,073,D06,D06_1
E,6,1,093,E06,E06_1
B,7,1,021,B07,B07_1
C,7,1,033,C07,C07_1
D,7,1,077,D07,D07_1
E,7,1,089,E07,E07_1
B,8,1,025,B08,B08_1
C,8,1,029,C08,C08_1
D,8,1,081,D08,D08_1
E,8,1,085,E08,E08_1
B,2,2,002,B02,B02_2
C,2,2,054,C02,C02_2
D,2,2,058,D02,D02_2
E,2,2,110,E02,E02_2
B,3,2,006,B03,B03_2
C,3,2,050,C03,C03_2
D,3,2,062,D03,D03_2
E,3,2,106,E03,E03_2
B,4,2,010,B04,B04_2
C,4,2,046,C04,C04_2
D,4,2,066,D04,D04_2
E,4,2,102,E04,E04_2
B,5,2,014,B05,B05_2
C,5,2,042,C05,C05_2
D,5,2,070,D05,D05_2
E,5,2,098,E05,E05_2
B,6,2,018,B06,B06_2
C,6,2,038,C06,C06_2
D,6,2,074,D06,D06_2
E,6,2,094,E06,E06_2
B,7,2,022,B07,B07_2
C,7,2,034,C07,C07_2
D,7,2,078,D07,D07_2
E,7,2,090,E07,E07_2
B,8,2,026,B08,B08_2
C,8,2,030,C08,C08_2
D,8,2,082,D08,D08_2
E,8,2,086,E08,E08_2
B,2,3,003,B02,B02_3
C,2,3,055,C02,C02_3
D,2,3,059,D02,D02_3
E,2,3,111,E02,E02_3
B,3,3,007,B03,B03_3
C,3,3,051,C03,C03_3
D,3,3,063,D03,D03_3
E,3,3,107,E03,E03_3
B,4,3,011,B04,B04_3
C,4,3,047,C04,C04_3
D,4,3,067,D04,D04_3
E,4,3,103,E04,E04_3
B,5,3,015,B05,B05_3
C,5,3,043,C05,C05_3
D,5,3,071,D05,D05_3
E,5,3,099,E05,E05_3
B,6,3,019,B06,B06_3
C,6,3,039,C06,C06_3
D,6,3,075,D06,D06_3
E,6,3,095,E06,E06_3
B,7,3,023,B07,B07_3
C,7,3,035,C07,C07_3
D,7,3,079,D07,D07_3
E,7,3,091,E07,E07_3
B,8,3,027,B08,B08_3
C,8,3,031,C08,C08_3
D,8,3,083,D08,D08_3
E,8,3,087,E08,E08_3
B,2,4,004,B02,B02_4
C,2,4,056,C02,C02_4
D,2,4,060,D02,D02_4
E,2,4,112,E02,E02_4
B,3,4,008,B03,B03_4
C,3,4,052,C03,C03_4
D,3,4,064,D03,D03_4
E,3,4,108,E03,E03_4
B,4,4,012,B04,B04_4
C,4,4,048,C04,C04_4
D,4,4,068,D04,D04_4
E,4,4,104,E04,E04_4
B,5,4,016,B05,B05_4
C,5,4,044,C05,C05_4
D,5,4,072,D05,D05_4
E,5,4,100,E05,E05_4
B,6,4,020,B06,B06_4
C,6,4,040,C06,C06_4
D,6,4,076,D06,D06_4
E,6,4,096,E06,E06_4
B,7,4,024,B07,B07_4
C,7,4,036,C07,C07_4
D,7,4,080,D07,D07_4
E,7,4,092,E07,E07_4
B,8,4,028,B08,B08_4
C,8,4,032,C08,C08_4
D,8,4,084,D08,D08_4
E,8,4,088,E08,E08_4
