"","well_name","condition","dose_uM","treatment","cell_line"
"1","B02","DMSO",0,"mock","FUCCI"
"2","B03","DMSO",0,"siESR1","FUCCI"
"3","B04","DMSO",0,"siGREB1","FUCCI"
"4","B05","DMSO",0,"siPGR","FUCCI"
"5","B06","DMSO",0,"siKP","FUCCI"
"6","B07","DMSO",0,"siTFF1","FUCCI"
"7","B08","DMSO",0,"untreated","FUCCI"
"8","C02","100nM",0.1,"mock","FUCCI"
"9","C03","100nM",0.1,"siESR1","FUCCI"
"10","C04","100nM",0.1,"siGREB1","FUCCI"
"11","C05","100nM",0.1,"siPGR","FUCCI"
"12","C06","100nM",0.1,"siKP","FUCCI"
"13","C07","100nM",0.1,"siTFF1","FUCCI"
"14","C08","100nM",0.1,"untreated","FUCCI"
"15","D02","DMSO",0,"mock","FUCCI_WT"
"16","D03","DMSO",0,"siESR1","FUCCI_WT"
"17","D04","DMSO",0,"siGREB1","FUCCI_WT"
"18","D05","DMSO",0,"siPGR","FUCCI_WT"
"19","D06","DMSO",0,"siKP","FUCCI_WT"
"20","D07","DMSO",0,"siTFF1","FUCCI_WT"
"21","D08","DMSO",0,"untreated","FUCCI_WT"
"22","E02","100nM",0.1,"mock","FUCCI_WT"
"23","E03","100nM",0.1,"siESR1","FUCCI_WT"
"24","E04","100nM",0.1,"siGREB1","FUCCI_WT"
"25","E05","100nM",0.1,"siPGR","FUCCI_WT"
"26","E06","100nM",0.1,"siKP","FUCCI_WT"
"27","E07","100nM",0.1,"siTFF1","FUCCI_WT"
"28","E08","100nM",0.1,"untreated","FUCCI_WT"
