"treatment"	"plateID"	"dose_uM"	"timeID"	"locationID"	"cell_line"	"variable"	"value"
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.46479571901852
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.6383911783013
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.49667082823564
"DMSO"	"20200220_Exp006_MT_t24"	0	"4"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.45420912594943
"DMSO"	"20200220_Exp006_MT_t24"	0	"5"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.16131252733334
"DMSO"	"20200220_Exp006_MT_t24"	0	"6"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.95192902493761
"DMSO"	"20200220_Exp006_MT_t24"	0	"7"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.88176811012767
"DMSO"	"20200220_Exp006_MT_t24"	0	"8"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.44440933827426
"DMSO"	"20200220_Exp006_MT_t24"	0	"9"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.21721716856976
"DMSO"	"20200220_Exp006_MT_t24"	0	"10"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.09476674237026
"DMSO"	"20200220_Exp006_MT_t24"	0	"11"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.85251113677691
"DMSO"	"20200220_Exp006_MT_t24"	0	"12"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.74856997378137
"DMSO"	"20200220_Exp006_MT_t24"	0	"13"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.74971077644109
"DMSO"	"20200220_Exp006_MT_t24"	0	"14"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.53581326956145
"DMSO"	"20200220_Exp006_MT_t24"	0	"15"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.51185878914667
"DMSO"	"20200220_Exp006_MT_t24"	0	"16"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.58111357079385
"DMSO"	"20200220_Exp006_MT_t24"	0	"17"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.5342671844155
"DMSO"	"20200220_Exp006_MT_t24"	0	"18"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.51300325325423
"DMSO"	"20200220_Exp006_MT_t24"	0	"19"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.45972578253273
"DMSO"	"20200220_Exp006_MT_t24"	0	"20"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.38742492720341
"DMSO"	"20200220_Exp006_MT_t24"	0	"21"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.49121426279039
"DMSO"	"20200220_Exp006_MT_t24"	0	"22"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.61748197772006
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.54187302066051
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B02_1"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.55474010318802
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.68664847691318
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	4.10726763624951
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	4.06057522175941
"DMSO"	"20200220_Exp006_MT_t24"	0	"4"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.82807917915337
"DMSO"	"20200220_Exp006_MT_t24"	0	"5"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	3.41031539983797
"DMSO"	"20200220_Exp006_MT_t24"	0	"6"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.98554342428397
"DMSO"	"20200220_Exp006_MT_t24"	0	"7"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.79562464631615
"DMSO"	"20200220_Exp006_MT_t24"	0	"8"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.38528048810229
"DMSO"	"20200220_Exp006_MT_t24"	0	"9"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.05187164680667
"DMSO"	"20200220_Exp006_MT_t24"	0	"10"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.91033075514764
"DMSO"	"20200220_Exp006_MT_t24"	0	"11"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.759845387072
"DMSO"	"20200220_Exp006_MT_t24"	0	"12"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.4579060965422
"DMSO"	"20200220_Exp006_MT_t24"	0	"13"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.36280238087095
"DMSO"	"20200220_Exp006_MT_t24"	0	"14"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.31425616824581
"DMSO"	"20200220_Exp006_MT_t24"	0	"15"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.18079093604298
"DMSO"	"20200220_Exp006_MT_t24"	0	"16"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.15986742835896
"DMSO"	"20200220_Exp006_MT_t24"	0	"17"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.13970553867492
"DMSO"	"20200220_Exp006_MT_t24"	0	"18"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.08120064859336
"DMSO"	"20200220_Exp006_MT_t24"	0	"19"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.0350473085803
"DMSO"	"20200220_Exp006_MT_t24"	0	"20"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.07539932057019
"DMSO"	"20200220_Exp006_MT_t24"	0	"21"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.02008606812568
"DMSO"	"20200220_Exp006_MT_t24"	0	"22"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.0150117960805
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.1185722993814
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B02_2"	"GREB1-GFP_mock"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.13852626118865
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.54460051802714
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.59074128760077
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.61322102964231
