"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"1"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.81153612615951
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"2"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.55065599789074
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"3"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.60241872396887
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"4"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.39861707506886
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"5"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.95652851732534
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"6"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.55421727466431
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"7"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.1867752352002
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"8"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.01377581157837
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"9"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.59962401796463
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"10"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.50547918897291
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"11"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.29356655283809
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"12"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.31511521580515
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"13"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.07465545786469
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"14"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.90530387570324
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"15"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.83886294178612
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"16"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.05155890546016
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"17"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.88543278853467
"DMSO"	0	"20200515_Exp252_Nikon4_24hrslive"	"18"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.01971761242923
