"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"1"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	8.16426649956503
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"2"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.72621103029197
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"3"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	7.20878542321292
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"4"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	6.5970550858132
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"5"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	5.75216994335971
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"6"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.82446876703162
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"7"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	4.06870502584138
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"8"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	3.49009177170695
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"9"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.99158340039101
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"10"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.85991909026551
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"11"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.64083109404078
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"12"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.43801852408399
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"13"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.31930096980878
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"14"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.24159195890451
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"15"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.15958452509556
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"16"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.09111655323323
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"17"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.04365460740649
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"18"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.00819124311756
"DMSO"	0	"20200606_Exp262_Nikon2_siRNAKD"	"19"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP"	2.00496668301258
