"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"1"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.74954993149898
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"2"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.26068533946352
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"3"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.595389376693796
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"4"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.872113698474812
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"5"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.641986478986776
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"6"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.521643777958418
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"7"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.848715519399139
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"8"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.732107866794282
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"9"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.935170125700074
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"10"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.783295337949869
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"11"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.993042026472335
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"12"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.779470919895884
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"13"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.88874683207209
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"14"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.941974135863538
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"15"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.696862965385188
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"16"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.842542619001165
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"17"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.720981017954768
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"18"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.620198223474357
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"19"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.845860009483807
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"20"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.927879552668499
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"21"	"GREB1-GFP_mock"	"B02_1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.06237253515548
