"treatment"	"dose_uM"	"plateID"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"1"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	19.8687940754229
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"2"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	20.7397654131559
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"3"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	20.1988081926844
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"4"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	19.4777089370133
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"5"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	18.4011158465869
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"6"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	16.8759265433381
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"7"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	16.1241928940745
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"8"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.9037152189764
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"9"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	14.903611248044
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"10"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.59439254916
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"11"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.7570792468254
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"12"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.4396507445542
"DMSO"	0	"20200703_Exp273_Nikon4_24hrsliveKD"	"13"	"GREB1-GFP_mock"	"B02_1"	"Cytoplasm_Intensity_IntegratedIntensity_Image_GFP"	13.619712995751
