,init_value,est_value
CONC2_init,0.23189285381872848,0.14859358070461975
CONC3_init,0.03291935721574658,0.655421237002511
CONC4_init,0.9312495160720219,1.0475822976915035
CONC5_init,0.4798715193337606,2.4547189634720388
CONC6_init,0.784369579098336,999.9807420326141
ER_init,0.60574558373537,0.46658199398915967
GREB1_init,0.9508030211920806,0.9147359683752576
PR_init,0.6494239938340677,0.7886269695335827
TFF1_init,0.09191347398414615,0.971381445647844
d_er,0.8361529701717311,0.034832337790748596
d_pr,0.34517239480880474,0.009873392455967633
d_greb1,0.2839062612321334,0.2874562139485256
d_tff1,0.26468223808259905,1.0745927116023732e-15
b_e2er,0.3030128398342343,0.3505056655905166
d_e2er,0.13654759182089962,2.407047122435362e-15
b_e2ergreb1,0.24409985285121005,0.430537270545258
d_e2ergreb1,0.740931001121979,0.017697873824967267
stim_pr,0.6027575125849916,0.36279189526547456
stim_greb1,0.7739725515003755,8.433576951586428
stim_tff1,0.577604497300806,2.874216425390967
s_er,0.5064959690087387,0.01625214162171144
s_pr,0.22416323519800357,0.007786423571565492
s_greb1,0.26993893091486054,0.2629465382316898
s_tff1,0.024327864004070544,1.04383942167895e-15
