,dose_nM,timeID,StateVar,GFP
0,0.001,1,GREB1,0.9134340074926788
1,0.001,2,GREB1,0.913450957251117
2,0.001,3,GREB1,0.9136227522718684
3,0.001,4,GREB1,0.9141169768031905
4,0.001,5,GREB1,0.9150104232682704
5,0.001,6,GREB1,0.9162972470709936
6,0.001,7,GREB1,0.9179224023017178
7,0.001,8,GREB1,0.9198090109425247
8,0.001,9,GREB1,0.921875968203891
9,0.001,10,GREB1,0.9240476834994988
10,0.001,11,GREB1,0.9262588879352959
11,0.001,12,GREB1,0.9284562555569622
12,0.001,13,GREB1,0.9305981848702998
13,0.001,14,GREB1,0.9326538223004361
14,0.001,15,GREB1,0.9346014294855979
15,0.001,16,GREB1,0.9364269201067351
16,0.001,17,GREB1,0.9381223086029774
17,0.001,18,GREB1,0.9396843672706127
18,0.001,19,GREB1,0.9411135509270576
19,0.001,20,GREB1,0.9424129061359008
20,0.001,21,GREB1,0.9435874135100224
21,0.001,22,GREB1,0.9446433883922564
22,0.001,23,GREB1,0.9455877917893935
23,0.001,24,GREB1,0.9464281077819645
24,0.001,25,GREB1,0.9471719390618165
25,0.001,26,GREB1,0.9478268178442413
26,0.001,27,GREB1,0.9484000659999358
27,0.001,28,GREB1,0.9488986931772275
28,0.001,29,GREB1,0.9493293348019765
29,0.001,30,GREB1,0.9496982238888283
30,0.001,31,GREB1,0.9500111467738479
31,0.001,32,GREB1,0.9502734562792553
32,0.001,33,GREB1,0.9504900986489561
33,0.001,34,GREB1,0.950665539468111
34,0.001,35,GREB1,0.9508039628678456
35,0.001,36,GREB1,0.9509091112814753
36,0.001,37,GREB1,0.9509843995616755
37,0.001,38,GREB1,0.9510329317785152
38,0.001,39,GREB1,0.9510575129187714
39,0.001,40,GREB1,0.951060659640883
40,0.001,41,GREB1,0.9510446353688938
41,0.001,42,GREB1,0.9510114824256711
42,0.001,43,GREB1,0.9509631173788171
43,0.001,44,GREB1,0.9509011701262461
44,0.001,45,GREB1,0.9508271366562788
45,0.001,46,GREB1,0.9507423690554061
46,0.001,47,GREB1,0.9506480369628476
47,0.001,48,GREB1,0.9505452688720862
48,0.001,49,GREB1,0.950435019739411
49,0.001,50,GREB1,0.9503181574888102
50,0.001,51,GREB1,0.950195465113311
51,0.001,52,GREB1,0.9500676413183711
52,0.001,53,GREB1,0.9499353044260606
53,0.001,54,GREB1,0.9497990132599962
54,0.001,55,GREB1,0.9496592648727945
55,0.001,1,PR,0.7941271985238545
56,0.001,2,PR,0.794128317198928
57,0.001,3,PR,0.7941411413252302
58,0.001,4,PR,0.7941818767799516
59,0.001,5,PR,0.7942628760703196
60,0.001,6,PR,0.7943910901094513
61,0.001,7,PR,0.794568978672894
62,0.001,8,PR,0.7947957406679327
63,0.001,9,PR,0.7950683776719476
64,0.001,10,PR,0.7953825076674252
65,0.001,11,PR,0.7957329688486942
66,0.001,12,PR,0.7961142560779083
67,0.001,13,PR,0.796520818607945
68,0.001,14,PR,0.7969472781354765
69,0.001,15,PR,0.7973885555703006
70,0.001,16,PR,0.7978399598897074
71,0.001,17,PR,0.7982972305598582
72,0.001,18,PR,0.7987565545609708
73,0.001,19,PR,0.7992145700812366
74,0.001,20,PR,0.7996683440136721
75,0.001,21,PR,0.8001153553510763
76,0.001,22,PR,0.8005534686046043
77,0.001,23,PR,0.8009808903720712
78,0.001,24,PR,0.8013961566223582
79,0.001,25,PR,0.8017980821536516
