treatment	medium	dose_uM	plateID	timeID	cell_line	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C03_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.241968961
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C03_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.789221724
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C04_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.280755556
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C04_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	9.0151133
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C05_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.541755911
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C05_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	7.0435079
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C06_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.725259776
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C06_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	8.31104167
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C07_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.69437202
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C07_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.472253894
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C08_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.738908747
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C08_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	6.985702247
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C09_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	25.78136707
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C09_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	32.634693
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C10_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	12.87833841
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C10_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	28.49587478
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C11_1	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	16.78403888
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C11_2	1	Cytoplasm_N_Intensity_IntegratedIntensity_Image_GFP	26.12988103
