treatment	medium	dose_uM	plateID	timeID	cell_line	imageNumber	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	1	C03_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.096465354
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	2	C03_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.732987979
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	3	C04_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.534808707
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	4	C04_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.838002002
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	5	C05_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.168303977
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	6	C05_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.794178936
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	7	C06_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.090796818
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	8	C06_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.440344842
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	9	C07_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.812424421
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	10	C07_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.572922055
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	11	C08_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.092228517
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	12	C08_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.12569388
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	13	D03_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.129780009
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	14	D03_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.908685905
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	15	D04_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.689352435
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	16	D04_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.83133908
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	17	D05_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.677405776
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	18	D05_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.293411304
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	19	D06_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.413226097
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	20	D06_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.626410172
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	21	D07_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.404437466
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	22	D07_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.123112175
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	23	D08_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.266804834
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	24	D08_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.734236233
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	25	E03_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.786505405
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	26	E03_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.453575636
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	27	E04_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.866188781
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	28	E04_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.48252053
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	29	E05_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.679560825
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	30	E05_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.948889088
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	31	E06_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.248969997
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	32	E06_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.429551359
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	33	E07_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.268238875
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	34	E07_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.046288606
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	35	E08_1	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.483056549
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	36	E08_2	3	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.062398036
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	37	F03_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.164932322
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	38	F03_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.743698044
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	39	F04_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.527181738
Medium	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	40	F04_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.156573815
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	41	F05_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.903107668
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	42	F05_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.294094129
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	43	F06_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.656659961
DMSO	Starv_medium_2	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	44	F06_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.520779711
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	45	F07_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.781896787
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	46	F07_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.869845232
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	47	F08_1	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.835846048
17B-estradiol	Starv_medium_2	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	48	F08_2	4	Nuclei_Intensity_IntegratedIntensity_Image_GFP	0.640825667
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	1	C03_1	1	imageCountParentObj	278
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	2	C03_2	1	imageCountParentObj	246
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	3	C04_1	1	imageCountParentObj	315
Medium	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	4	C04_2	1	imageCountParentObj	225
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	5	C05_1	1	imageCountParentObj	264
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	6	C05_2	1	imageCountParentObj	197
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	7	C06_1	1	imageCountParentObj	251
DMSO	Comp_medium_NS	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	8	C06_2	1	imageCountParentObj	236
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	9	C07_1	1	imageCountParentObj	278
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	10	C07_2	1	imageCountParentObj	251
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	11	C08_1	1	imageCountParentObj	228
17B-estradiol	Comp_medium_NS	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	12	C08_2	1	imageCountParentObj	236
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	13	D03_1	2	imageCountParentObj	274
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	14	D03_2	2	imageCountParentObj	175
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	15	D04_1	2	imageCountParentObj	255
Medium	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	16	D04_2	2	imageCountParentObj	180
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	17	D05_1	2	imageCountParentObj	255
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	18	D05_2	2	imageCountParentObj	235
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	19	D06_1	2	imageCountParentObj	224
DMSO	Comp_medium_S	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	20	D06_2	2	imageCountParentObj	194
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	21	D07_1	2	imageCountParentObj	181
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	22	D07_2	2	imageCountParentObj	208
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	23	D08_1	2	imageCountParentObj	198
17B-estradiol	Comp_medium_S	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	24	D08_2	2	imageCountParentObj	251
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	25	E03_1	3	imageCountParentObj	284
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	26	E03_2	3	imageCountParentObj	199
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	27	E04_1	3	imageCountParentObj	210
Medium	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	28	E04_2	3	imageCountParentObj	216
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	29	E05_1	3	imageCountParentObj	287
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	30	E05_2	3	imageCountParentObj	167
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	31	E06_1	3	imageCountParentObj	250
DMSO	Starv_medium_1	0	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	32	E06_2	3	imageCountParentObj	237
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	33	E07_1	3	imageCountParentObj	226
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	34	E07_2	3	imageCountParentObj	261
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	35	E08_1	3	imageCountParentObj	189
17B-estradiol	Starv_medium_1	1	20200215_Exp005-MT_t0	0	MCF7-GREB1-GFP	36	E08_2	3	imageCountParentObj	252
